"TradeDate","Expiry","Strike","SpotIn","PremiumIn","SpotOut","PremiumOut","PnL"
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,1.73,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,11.55,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,14.55,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,18.5,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,21.9,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,23.85,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,25.7,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,27.8,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,29.6,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,31,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,32.7,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,34.06,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,35.54,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,37.16,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,39.7,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,40.6,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,42.99,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,45.89,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,50.7,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,54.25,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,64.3,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,69.2,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,76.34,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,82.15,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,87.94,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,94.4,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,125.2,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,129.45,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,157.65,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,158.75,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,163.26,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,167.3,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,184.2,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,212.96,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,264,1.73
2018-01-31,2018-01-31,2825,2824.58,1.73,2824.58,350.15,1.73
2018-02-28,2018-02-28,2715,2713.61,3.76,2713.61,3.76,3.76
2018-02-28,2018-02-28,2715,2713.61,3.76,2713.61,15.15,3.76
2018-02-28,2018-02-28,2715,2713.61,3.76,2713.61,20.89,3.76
2018-02-28,2018-02-28,2715,2713.61,3.76,2713.61,23.95,3.76
2018-02-28,2018-02-28,2715,2713.61,3.76,2713.61,28.75,3.76
2018-02-28,2018-02-28,2715,2713.61,3.76,2713.61,28.1,3.76
2018-02-28,2018-02-28,2715,2713.61,3.76,2713.61,32.85,3.76
