"","TradeDate","Expiry","Strike","CallPremiumIn","PutPremiumIn","CallPremiumOut","PutPremiumOut","PnL"
"1",2018-02-28,2018-02-28,2715,3.76,1.16,3.76,1.16,0
"2",2018-02-28,2018-02-28,2715,15.15,15.2,3.76,1.16,-25
"3",2018-02-28,2018-02-28,2715,20.89,19.2,3.76,1.16,-35
"4",2018-02-28,2018-02-28,2715,23.95,22.66,3.76,1.16,-42
"5",2018-02-28,2018-02-28,2715,28.75,26.65,3.76,1.16,-50
"6",2018-02-28,2018-02-28,2715,28.1,28.4,3.76,1.16,-52
"7",2018-02-28,2018-02-28,2715,32.85,32.7,3.76,1.16,-61
"8",2018-02-28,2018-02-28,2715,34.55,33.45,3.76,1.16,-63
"9",2018-02-28,2018-02-28,2715,36.65,35.2,3.76,1.16,-67
"10",2018-02-28,2018-02-28,2715,39.94,39.8,3.76,1.16,-75
"11",2018-02-28,2018-02-28,2715,41.8,40.35,3.76,1.16,-77
"12",2018-02-28,2018-02-28,2715,43.06,41.86,3.76,1.16,-80
"13",2018-02-28,2018-02-28,2715,45.5,42.39,3.76,1.16,-83
"14",2018-02-28,2018-02-28,2715,46.84,44.1,3.76,1.16,-86
"15",2018-02-28,2018-02-28,2715,47.94,45.05,3.76,1.16,-88
"16",2018-02-28,2018-02-28,2715,49.05,45.75,3.76,1.16,-90
"17",2018-02-28,2018-02-28,2715,50.56,48.75,3.76,1.16,-94
"18",2018-02-28,2018-02-28,2715,56.8,53.26,3.76,1.16,-105
"19",2018-02-28,2018-02-28,2715,61.99,58,3.76,1.16,-115
"20",2018-02-28,2018-02-28,2715,67,62.65,3.76,1.16,-125
"21",2018-02-28,2018-02-28,2715,78,72.54,3.76,1.16,-146
"22",2018-02-28,2018-02-28,2715,100.3,91.61,3.76,1.16,-187
"23",2018-04-30,2018-04-30,2650,0.28,0.98,0.28,0.98,0
"24",2018-04-30,2018-04-30,2650,12.6,13.45,0.28,0.98,-25
"25",2018-04-30,2018-04-30,2650,17.26,17.7,0.28,0.98,-34
"26",2018-04-30,2018-04-30,2650,19.5,20.55,0.28,0.98,-39
"27",2018-04-30,2018-04-30,2650,23.49,23.3,0.28,0.98,-46
"28",2018-04-30,2018-04-30,2650,25.35,26.8,0.28,0.98,-51
"29",2018-04-30,2018-04-30,2650,26.79,27.91,0.28,0.98,-53
"30",2018-04-30,2018-04-30,2650,29,30.99,0.28,0.98,-59
"31",2018-04-30,2018-04-30,2650,30.55,33.4,0.28,0.98,-63
"32",2018-04-30,2018-04-30,2650,32.8,35.06,0.28,0.98,-67
"33",2018-04-30,2018-04-30,2650,34.8,36.55,0.28,0.98,-70
"34",2018-04-30,2018-04-30,2650,36.75,38.05,0.28,0.98,-74
"35",2018-04-30,2018-04-30,2650,37.45,39.8,0.28,0.98,-76
"36",2018-04-30,2018-04-30,2650,38.89,40.8,0.28,0.98,-78
"37",2018-04-30,2018-04-30,2650,40,41.3,0.28,0.98,-80
"38",2018-04-30,2018-04-30,2650,40.5,42.2,0.28,0.98,-81
"39",2018-04-30,2018-04-30,2650,41.9,43.3,0.28,0.98,-84
"40",2018-04-30,2018-04-30,2650,44.99,46.56,0.28,0.98,-90
"41",2018-04-30,2018-04-30,2650,49.8,52.56,0.28,0.98,-101
"42",2018-04-30,2018-04-30,2650,54.95,56.05,0.28,0.98,-110
"43",2018-04-30,2018-04-30,2650,60.35,60.3,0.28,0.98,-119
"44",2018-04-30,2018-04-30,2650,70.35,70.3,0.28,0.98,-139
"45",2018-04-30,2018-04-30,2650,76.2,74.4,0.28,0.98,-149
"46",2018-04-30,2018-04-30,2650,83.7,83.25,0.28,0.98,-166
"47",2018-04-30,2018-04-30,2650,90.06,89.15,0.28,0.98,-178
"48",2018-04-30,2018-04-30,2650,98.85,96,0.28,0.98,-194
"49",2018-04-30,2018-04-30,2650,101.7,98.96,0.28,0.98,-199
"50",2018-04-30,2018-04-30,2650,132.06,126.05,0.28,0.98,-257
"51",2018-04-30,2018-04-30,2650,131.85,126.66,0.28,0.98,-257
"52",2018-04-30,2018-04-30,2650,136.4,128,0.28,0.98,-263
"53",2018-04-30,2018-04-30,2650,142,132.2,0.28,0.98,-273
"54",2018-04-30,2018-04-30,2650,159.11,147.8,0.28,0.98,-306
"55",2018-04-30,2018-04-30,2650,164.6,151.05,0.28,0.98,-314
"56",2018-04-30,2018-04-30,2650,186.35,169.85,0.28,0.98,-355
"57",2018-04-30,2018-04-30,2650,229.55,201.36,0.28,0.98,-430
"58",2018-04-30,2018-04-30,2650,304.14,250.41,0.28,0.98,-553
"59",2018-06-29,2018-06-29,2720,1.73,0.68,1.73,0.68,0
"60",2018-06-29,2018-06-29,2720,12.2,10.41,1.73,0.68,-20
"61",2018-06-29,2018-06-29,2720,14.09,12.55,1.73,0.68,-24
"62",2018-06-29,2018-06-29,2720,19.71,18.7,1.73,0.68,-36
"63",2018-06-29,2018-06-29,2720,21.36,20.26,1.73,0.68,-39
"64",2018-06-29,2018-06-29,2720,24.8,23.3,1.73,0.68,-46
"65",2018-06-29,2018-06-29,2720,27.85,25.65,1.73,0.68,-51
"66",2018-06-29,2018-06-29,2720,29.25,27.55,1.73,0.68,-54
"67",2018-06-29,2018-06-29,2720,31.75,30.05,1.73,0.68,-59
"68",2018-06-29,2018-06-29,2720,32.8,31.65,1.73,0.68,-62
"69",2018-06-29,2018-06-29,2720,35.61,32.65,1.73,0.68,-66
"70",2018-06-29,2018-06-29,2720,37.16,34.09,1.73,0.68,-69
"71",2018-06-29,2018-06-29,2720,39.15,36.3,1.73,0.68,-73
"72",2018-06-29,2018-06-29,2720,39.25,36.55,1.73,0.68,-73
"73",2018-06-29,2018-06-29,2720,40.89,37.65,1.73,0.68,-76
"74",2018-06-29,2018-06-29,2720,41,38.4,1.73,0.68,-77
"75",2018-06-29,2018-06-29,2720,43.65,40.1,1.73,0.68,-81
"76",2018-06-29,2018-06-29,2720,44.56,40.84,1.73,0.68,-83
"77",2018-06-29,2018-06-29,2720,47,44.86,1.73,0.68,-89
"78",2018-06-29,2018-06-29,2720,49.55,49.41,1.73,0.68,-97
"79",2018-06-29,2018-06-29,2720,55.25,52.35,1.73,0.68,-105
"80",2018-06-29,2018-06-29,2720,58.9,56.6,1.73,0.68,-113
"81",2018-06-29,2018-06-29,2720,70.4,67.6,1.73,0.68,-136
"82",2018-06-29,2018-06-29,2720,75.25,70.9,1.73,0.68,-144
"83",2018-06-29,2018-06-29,2720,84.6,80.25,1.73,0.68,-162
"84",2018-06-29,2018-06-29,2720,92.5,86.1,1.73,0.68,-176
"85",2018-06-29,2018-06-29,2720,103.15,98.55,1.73,0.68,-199
"86",2018-08-31,2018-08-31,2900,1.85,0.03,1.85,0.03,0
"87",2018-08-31,2018-08-31,2900,7.25,5.26,1.85,0.03,-11
"88",2018-08-31,2018-08-31,2900,9.7,7.3,1.85,0.03,-15
"89",2018-08-31,2018-08-31,2900,13.54,11.2,1.85,0.03,-23
"90",2018-08-31,2018-08-31,2900,15.34,12.51,1.85,0.03,-26
"91",2018-08-31,2018-08-31,2900,17.61,15.35,1.85,0.03,-31
"92",2018-08-31,2018-08-31,2900,20.3,17.95,1.85,0.03,-36
"93",2018-08-31,2018-08-31,2900,21.25,19.2,1.85,0.03,-39
"94",2018-08-31,2018-08-31,2900,23.2,20.65,1.85,0.03,-42
"95",2018-08-31,2018-08-31,2900,24.86,22.55,1.85,0.03,-46
"96",2018-08-31,2018-08-31,2900,26.6,23.8,1.85,0.03,-49
"97",2018-08-31,2018-08-31,2900,28.36,25.7,1.85,0.03,-52
"98",2018-08-31,2018-08-31,2900,30.51,27.01,1.85,0.03,-56
"99",2018-08-31,2018-08-31,2900,31.35,28.05,1.85,0.03,-58
"100",2018-08-31,2018-08-31,2900,33.25,29.45,1.85,0.03,-61
"101",2018-08-31,2018-08-31,2900,34.5,31.1,1.85,0.03,-64
"102",2018-08-31,2018-08-31,2900,36.15,32.01,1.85,0.03,-66
"103",2018-08-31,2018-08-31,2900,39.2,34.75,1.85,0.03,-72
"104",2018-08-31,2018-08-31,2900,42.95,38.8,1.85,0.03,-80
"105",2018-08-31,2018-08-31,2900,48.24,42.31,1.85,0.03,-89
"106",2018-08-31,2018-08-31,2900,51.31,44.36,1.85,0.03,-94
"107",2018-08-31,2018-08-31,2900,52.2,45.9,1.85,0.03,-96
"108",2018-08-31,2018-08-31,2900,60.59,55.65,1.85,0.03,-114
"109",2018-08-31,2018-08-31,2900,68.9,62.91,1.85,0.03,-130
"110",2018-08-31,2018-08-31,2900,79.35,72.54,1.85,0.03,-150
"111",2018-08-31,2018-08-31,2900,80.2,72.79,1.85,0.03,-151
"112",2018-08-31,2018-08-31,2900,84.6,75,1.85,0.03,-158
"113",2018-08-31,2018-08-31,2900,93.5,81.6,1.85,0.03,-173
"114",2018-08-31,2018-08-31,2900,99.44,86,1.85,0.03,-184
"115",2018-08-31,2018-08-31,2900,117.3,102.7,1.85,0.03,-218
"116",2018-08-31,2018-08-31,2900,123.6,106.95,1.85,0.03,-229
"117",2018-08-31,2018-08-31,2900,154.15,131.76,1.85,0.03,-284
"118",2018-08-31,2018-08-31,2900,154.61,133.5,1.85,0.03,-286
"119",2018-08-31,2018-08-31,2900,184,153.76,1.85,0.03,-336
"120",2018-08-31,2018-08-31,2900,210,171.85,1.85,0.03,-380
"121",2018-08-31,2018-08-31,2900,259.26,205,1.85,0.03,-462
"122",2018-08-31,2018-08-31,2900,301.14,232.6,1.85,0.03,-532
"123",2018-10-31,2018-10-31,2710,5.29,0.78,5.29,0.78,0
"124",2018-10-31,2018-10-31,2710,21.1,18.7,5.29,0.78,-34
"125",2018-10-31,2018-10-31,2710,26.64,23.3,5.29,0.78,-44
"126",2018-10-31,2018-10-31,2710,35.85,33.89,5.29,0.78,-64
"127",2018-10-31,2018-10-31,2710,39.81,38.35,5.29,0.78,-72
"128",2018-10-31,2018-10-31,2710,41.05,40.76,5.29,0.78,-76
"129",2018-10-31,2018-10-31,2710,44.2,44.59,5.29,0.78,-83
"130",2018-10-31,2018-10-31,2710,47.2,44.9,5.29,0.78,-86
"131",2018-10-31,2018-10-31,2710,49.44,48.36,5.29,0.78,-92
"132",2018-10-31,2018-10-31,2710,51.85,50.3,5.29,0.78,-96
"133",2018-10-31,2018-10-31,2710,52.3,51.4,5.29,0.78,-98
"134",2018-10-31,2018-10-31,2710,52.8,52.75,5.29,0.78,-99
"135",2018-10-31,2018-10-31,2710,54.6,54.35,5.29,0.78,-103
"136",2018-10-31,2018-10-31,2710,57.8,56.5,5.29,0.78,-108
"137",2018-10-31,2018-10-31,2710,58.3,58.01,5.29,0.78,-110
"138",2018-10-31,2018-10-31,2710,63.21,60.34,5.29,0.78,-117
"139",2018-10-31,2018-10-31,2710,64.4,61.8,5.29,0.78,-120
"140",2018-10-31,2018-10-31,2710,68.5,66.5,5.29,0.78,-129
"141",2018-10-31,2018-10-31,2710,74.46,71.86,5.29,0.78,-140
"142",2018-10-31,2018-10-31,2710,76.55,72.6,5.29,0.78,-143
"143",2018-10-31,2018-10-31,2710,79.85,76.5,5.29,0.78,-150
"144",2018-10-31,2018-10-31,2710,82.75,77.35,5.29,0.78,-154
"145",2018-10-31,2018-10-31,2710,93.6,86,5.29,0.78,-174
"146",2018-10-31,2018-10-31,2710,100.89,93.61,5.29,0.78,-188
"147",2018-10-31,2018-10-31,2710,108.75,100.35,5.29,0.78,-203
"148",2018-10-31,2018-10-31,2710,112.6,105.8,5.29,0.78,-212
"149",2018-10-31,2018-10-31,2710,129.11,119.75,5.29,0.78,-243
"150",2018-10-31,2018-10-31,2710,195.15,166.85,5.29,0.78,-356
"151",2018-12-31,2018-12-31,2505,0.03,7.44,0.03,7.44,0
"152",2018-12-31,2018-12-31,2505,13.35,18.8,0.03,7.44,-25
"153",2018-12-31,2018-12-31,2505,25.9,31.7,0.03,7.44,-50
"154",2018-12-31,2018-12-31,2505,29.15,34.7,0.03,7.44,-56
"155",2018-12-31,2018-12-31,2505,34.15,41.7,0.03,7.44,-68
"156",2018-12-31,2018-12-31,2505,42.1,48.19,0.03,7.44,-83
"157",2018-12-31,2018-12-31,2505,43.6,50.91,0.03,7.44,-87
"158",2018-12-31,2018-12-31,2505,46.2,57.25,0.03,7.44,-96
"159",2018-12-31,2018-12-31,2505,50.29,55.89,0.03,7.44,-99
"160",2018-12-31,2018-12-31,2505,52.36,59.8,0.03,7.44,-105
"161",2018-12-31,2018-12-31,2505,55.11,59.54,0.03,7.44,-107
"162",2018-12-31,2018-12-31,2505,60.2,65.5,0.03,7.44,-118
"163",2018-12-31,2018-12-31,2505,64.15,66.85,0.03,7.44,-124
"164",2018-12-31,2018-12-31,2505,61.5,66.15,0.03,7.44,-120
"165",2018-12-31,2018-12-31,2505,65.05,69.3,0.03,7.44,-127
"166",2018-12-31,2018-12-31,2505,64.5,69.85,0.03,7.44,-127
